busReq(req=1, addr=0x1ffff5cde10, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde10, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff5cde10, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde30, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff5cde30, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde30, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde30, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff5cde30, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde10, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde10, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde20, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff6b68d0, proc=1): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff6b68d0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68d0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6b68d0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e2b0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e2b0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e2b0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e2b0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e2b0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e320, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e320, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e320, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e320, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e320, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89dd30, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff89dd30, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dd30, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dd30, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff89dd30, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e300, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e300, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e300, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e300, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e300, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e2d0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e2d0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e2d0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e2d0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e2d0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e350, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e350, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e350, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e350, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e350, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89dea0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff89dea0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dea0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dea0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff89dea0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8b1d80, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8a65c0, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8a65c0, proc=2): INVALID_MODIFIED -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8a65c0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8a65c0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3320, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8c3320, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3320, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3320, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8c3320, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8a65b0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8a65b0, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff8a65b0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8a65b0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8a65b0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3320, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8a65b0, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3320, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3320, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8a65b0, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89e050, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8a65c0, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8a65c0, proc=1): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff8a65c0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8a65c0, proc=2): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89dd90, proc=2): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff89dd90, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dd90, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dd90, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff89dd90, proc=2): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89dc90, proc=2): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff89dc90, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dc90, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89dc90, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff89dc90, proc=2): INVALID_MODIFIED -> MODIFIED
permReq(read=1, addr=0x1ffff612090, proc=2): SHARED -> SHARED
permReq(read=0, addr=0x1ffff8a65c0, proc=2): MODIFIED -> MODIFIED
permReq(read=1, addr=0x1ffff6120a0, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff5cde20, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde20, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde20, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff5cde20, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde30, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a60, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff8b1d80, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8b1d80, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8b1d80, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8b1d80, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff61c160, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff61c160, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff61c160, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff61c160, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff61c160, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff89dea0, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6120a0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff89e050, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89e050, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff89e050, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff89e050, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3330, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8c3330, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8c3330, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e220, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e220, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e220, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e220, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e220, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68d0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff6b68d0, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffff6b68d0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68d0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6b68d0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3330, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff6120a0, proc=0): INVALID_MODIFIED -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff6120a0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff6120a0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6120a0, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff6120b0, proc=2): SHARED -> SHARED
permReq(read=1, addr=0x1ffff625af0, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff625a60, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a60, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a60, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff625a60, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff625b00, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff625b00, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625b00, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625b00, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff625b00, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a40, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff625a40, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a40, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a40, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff625a40, proc=3): INVALID_SHARED -> SHARED
